pl_name,pl_orbper,pl_orbsmax,pl_rade,pl_masse,pl_dens,pl_insol,pl_eqt,rowupdate,pl_pubdate,releasedate
Kepler-93 b,4.72672570,,1.460,,,333.09,1190,2024-04-07,2017-07,2024-04-07
NGTS-30 b,,,9.930,,,172.86,1010,2024-04-07,2017-07,2024-04-07
TOI-1135 b,8.02774310,,9.345,,,901.30,1526,2024-04-07,2017-07,2024-04-07
TOI-1235 b,3.44470150,,2.005,,,231.44,1086,2024-04-07,2017-07,2024-04-07
TOI-1670 b,10.98368770,,2.180,,,103.97,889,2024-04-07,2017-07,2024-04-07
TOI-1670 c,40.75013800,,11.102,,,32.44,664,2024-04-07,2017-07,2024-04-07
TOI-1751 b,37.46863840,,2.461,,,77.45,826,2024-04-07,2017-07,2024-04-07
TOI-1859 b,63.48387060,,11.130,,,11.99,518,2024-04-07,2017-07,2024-04-07
TOI-5398 b,10.59092300,,11.119,,,118.41,919,2024-04-07,2017-07,2024-04-07
TOI-5398 c,4.77289970,,3.302,,,370.60,1222,2024-04-07,2017-07,2024-04-07
TOI-559 b,6.98390720,,12.240,,,404.92,1249,2024-04-07,2017-07,2024-04-07
WASP-3 b,1.84683450,,16.401,,,1845.30,1825,2024-04-07,2017-07,2024-04-07
XO-4 b,4.12504290,,15.348,,,1112.27,1608,2024-04-07,2017-07,2024-04-07
XO-7 b,2.86413880,,15.528,,,591.07,1373,2024-04-07,2017-07,2024-04-07
gam Cep b,902.90000000,2.044000,,,,,,2024-04-05,2007-02,2024-04-05
Luhman 16 b,10001.00000000,3.540000,,8867.41256,,,,2024-04-05,2017-09,2024-04-05
KMT-2021-BLG-1150L b,,4.500000,,279.68900,,,,2024-04-05,2023-07,2024-04-05
KMT-2021-BLG-1150L b,,4.500000,,279.68900,,,,2024-04-05,2023-07,2024-04-05
CI Tau c,25.20000000,0.170000,,,,,,2024-04-05,2024-03,2024-04-05
HD 104067 b,55.85100000,0.267400,,,,,,2024-04-05,2024-03,2024-04-05
HD 104067 c,13.89920000,0.105800,,,,,,2024-04-05,2024-03,2024-04-05
M62H b,0.13293503,0.004908,,785.03617,,,,2024-04-05,2024-03,2024-04-05
OGLE-2017-BLG-0640L b,,1.140000,,514.88202,,,,2024-04-05,2024-03,2024-04-05
OGLE-2017-BLG-1237L b,,2.530000,,1207.74795,,,,2024-04-05,2024-03,2024-04-05
OGLE-2017-BLG-1275L b,,2.090000,,1875.18760,,,,2024-04-05,2024-03,2024-04-05
OGLE-2017-BLG-1275L b,,1.140000,,1684.49056,,,,2024-04-05,2024-03,2024-04-05
OGLE-2017-BLG-1275L b,,1.210000,,1802.08707,,,,2024-04-05,2024-03,2024-04-05
OGLE-2017-BLG-1275L b,,2.140000,,1980.07098,,,,2024-04-05,2024-03,2024-04-05
OGLE-2017-BLG-1275L b,,2.020000,,1827.51334,,,,2024-04-05,2024-03,2024-04-05
LTT 3780 b,0.76837931,0.011950,1.325,2.46000,5.80000,111.00,903,2024-03-26,2024-02,2024-03-26
LTT 3780 c,12.25228400,0.075700,2.390,8.04000,3.24000,2.76,359,2024-03-26,2024-02,2024-03-26
HATS-34 b,2.10615688,,13.087,,,691.84,1308,2024-03-25,2017-07,2024-03-25
HATS-48 A b,3.13167354,,9.500,,,148.65,891,2024-03-25,2017-07,2024-03-25
HATS-7 b,3.18531860,,5.422,,,211.62,973,2024-03-25,2017-07,2024-03-25
TOI-4438 b,7.44630338,,2.405,,,5.63,393,2024-03-25,2017-07,2024-03-25
TOI-908 b,3.18377892,,3.108,,,519.53,1218,2024-03-25,2017-07,2024-03-25
WASP-165 b,3.46549525,,14.278,,,1373.53,1553,2024-03-25,2017-07,2024-03-25
L 168-9 b,,,,,,,,2024-03-25,2023-03,2024-03-25
V1298 Tau e,53.50000000,,9.976,321.00669,1.79000,,,2024-03-25,2023-12,2024-03-25
GJ 9827 b,1.20897400,0.018900,1.440,4.28000,7.85800,,1035,2024-03-25,2024-01,2024-03-25
GJ 9827 c,3.64810300,0.039500,1.130,1.86000,7.14200,,716,2024-03-25,2024-01,2024-03-25
GJ 9827 d,6.20181200,0.056300,1.890,3.02000,2.45400,,600,2024-03-25,2024-01,2024-03-25
TOI-1266 b,10.89484100,0.072800,2.620,4.23000,1.30000,5.50,425,2024-03-25,2024-01,2024-03-25
TOI-1266 c,18.80161100,0.104700,2.130,2.88000,1.60000,2.70,354,2024-03-25,2024-01,2024-03-25
TOI-1710 b,24.28338200,0.164000,5.150,18.40000,,33.00,730,2024-03-25,2024-01,2024-03-25
LHS 1678 b,0.86023250,0.012390,0.685,,,94.30,,2024-03-25,2024-02,2024-03-25
